type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視　　嗅,2.35秒,1,1,0,0,0,0,0,0
IPQ,1,2,視　　　,7.599秒,1,1,0,0,0,0,0,0
IPQ,1,2,視　　　,14.641秒,2,6,81,0,2.5872802710723786,3.9825439405819134,83.58728027107237,3.9825439405819134
IPQ,1,2,視　　　,18.974秒,3,7,89,0,4.123899710786896,6.995718437172259,93.1238997107869,6.995718437172259
IPQ,1,2,視　　　,27.892秒,4,8,212,0,6.812916437880775,9.998047925232779,218.81291643788077,9.998047925232779
IPQ,1,2,視　　　,42.74秒,5,9,401,0,14.686980883375952,18.97540149807721,415.68698088337595,18.97540149807721
IPQ,1,2,視　　　,50.707秒,6,10,537,0,17.396463447286465,21.917169105630187,554.3964634472865,21.917169105630187
IPQ,1,2,視　　　,57.342秒,7,11,642,0,19.21508609570285,24.186341178863845,661.2150860957029,24.186341178863845
IPQ,1,2,視　　　,65.892秒,8,12,765,0,21.8518048457028,27.18011557542724,786.8518048457028,27.18011557542724
IPQ,1,2,視　　　,78.26秒,9,13,968,0,24.565427887594485,30.838562833854496,992.5654278875945,30.838562833854496
IPQ,1,2,視　　　,88.374秒,10,15,1101,0,27.943723791014946,34.66729819261424,1128.943723791015,34.66729819261424
IPQ,1,2,視　　　,99.25秒,11,16,1275,0,31.113279455077276,39.47930991136297,1306.1132794550772,39.47930991136297
IPQ,1,2,視　　　,105.992秒,12,17,1368,0,33.12926993026776,41.36895761292711,1401.1292699302678,41.36895761292711
IPQ,1,2,視　　　,122.176秒,13,18,1590,0,40.32469690912671,53.574768890287146,1630.3246969091267,53.574768890287146
IPQ,1,2,視　　　,133.592秒,14,19,1772,0,42.89611636886358,56.46417319241034,1814.8961163688637,56.46417319241034
IPQ,1,2,視　　　,143.978秒,15,20,1941,0,45.26916324412564,58.86468588694544,1986.2691632441256,58.86468588694544
IPQ,1,2,視　　　,153.742秒,16,21,2079,0,47.29064761904174,61.281678074418174,2126.290647619042,61.281678074418174
IPQ,1,2,視　　　,164.740秒,17,23,2260,0,49.85595445056382,64.17108106184794,2309.855954450564,64.17108106184794
IPQ,1,2,視　　　,178.625秒,18,25,2423,0,53.81579326590736,70.98149972585345,2476.8157932659074,70.98149972585345
IPQ,1,2,視　　　,190.840秒,19,28,2612,0,57.16184538408596,75.72300176241886,2669.161845384086,75.72300176241886
