type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視聴触嗅,3.899秒,1,1,0,0,0,0,0,0
IPQ,1,2,視　触嗅,5.305秒,1,1,0,0,0,0,0,0
IPQ,1,2,視　触嗅,14.580秒,2,2,81,0,2.069549555608728,2.2329711477775804,83.06954955560873,2.2329711477775804
IPQ,1,2,視　触嗅,25.662秒,3,4,193,0,10.23376397296914,9.217529217185357,203.23376397296914,9.217529217185357
IPQ,1,2,視　触嗅,33.449秒,4,6,340,0,12.101439708410169,12.030028829220717,352.10143970841017,12.030028829220717
IPQ,1,2,視　触嗅,44.580秒,5,7,538,0,14.47446835610755,15.429368049122077,552.4744683561075,15.429368049122077
IPQ,1,2,視　触嗅,55.370秒,6,8,723,0,16.495765689809538,18.63830100024823,739.4957656898096,18.63830100024823
IPQ,1,2,視　触嗅,64.825秒,7,9,906,0,19.042231702874084,23.50434708825481,925.0422317028741,23.50434708825481
IPQ,1,2,視　触嗅,71.14秒,8,10,1004,0,22.94495310668332,29.266075374997953,1026.9449531066832,29.266075374997953
IPQ,1,2,視　触嗅,79.930秒,9,11,1183,0,24.742667104674645,32.26664600930247,1207.7426671046746,32.26664600930247
IPQ,1,2,視　触嗅,88.242秒,10,12,1317,0,27.138958722541858,35.13876725828324,1344.138958722542,35.13876725828324
IPQ,1,2,視　触嗅,98.803秒,11,13,1506,0,29.519126657859616,38.758743541273276,1535.5191266578597,38.758743541273276
IPQ,1,2,視　触嗅,107.110秒,12,14,1655,0,31.936396543539722,41.21272855333463,1686.9363965435398,41.21272855333463
IPQ,1,2,視　触嗅,115.313秒,13,16,1786,0,34.38051137171061,44.01570130197753,1820.3805113717106,44.01570130197753
IPQ,1,2,視　触嗅,122.700秒,14,17,1935,0,36.513140548607176,46.44202784708032,1971.5131405486072,46.44202784708032
IPQ,1,2,視　触嗅,131.234秒,15,18,2091,0,39.75959950785574,50.770638432145276,2130.759599507856,50.770638432145276
IPQ,1,2,視　触嗅,138.468秒,16,19,2225,0,43.55532527078853,54.31870775339694,2268.5553252707887,54.31870775339694
IPQ,1,2,視　触嗅,149.835秒,17,21,2427,0,48.05666273685955,58.17491527137068,2475.0566627368594,58.17491527137068
IPQ,1,2,視　触嗅,159.834秒,18,22,2625,0,50.80324372132727,61.40443940796677,2675.8032437213274,61.40443940796677
IPQ,1,2,視　触嗅,166.467秒,19,23,2723,0,53.96159108270397,65.27139996516854,2776.9615910827038,65.27139996516854
IPQ,1,2,視　触嗅,176.323秒,20,25,2855,0,56.88383376776036,69.61656447362449,2911.8838337677603,69.61656447362449
IPQ,1,2,視　触嗅,185.282秒,21,26,3002,0,59.00357542459731,72.8236442679672,3061.0035754245973,72.8236442679672
IPQ,1,2,視　触嗅,195.595秒,22,28,3185,0,61.613347094718975,76.53746179842119,3246.613347094719,76.53746179842119
IPQ,1,2,視　触嗅,202.435秒,23,29,3300,0,63.080080920820414,78.5869011773154,3363.0800809208204,78.5869011773154
IPQ,1,2,視　触嗅,212.329秒,24,31,3478,0,65.48564522624032,82.10158005017608,3543.48564522624,82.10158005017608
IPQ,1,2,視　触嗅,219.107秒,25,32,3611,0,67.22697495399002,84.73280243496998,3678.22697495399,84.73280243496998
