type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
一対比較法,1,1,視　触嗅,2.117秒,2,0,0,0,0,0,19.39086882112033,17.0397935692111
一対比較法,1,1,視　触嗅,18.391秒,3,2,57,0,7.493603828193923,12.664441478143129,64.49360382819393,12.664441478143129
一対比較法,1,1,視　触嗅,28.294秒,4,3,155,0,11.046102586113744,19.671020519624054,166.04610258611373,19.671020519624054
一対比較法,1,1,視　触嗅,43.124秒,5,4,343,0,15.555990281404286,29.311523449284902,358.55599028140426,29.311523449284902
一対比較法,1,1,視　触嗅,58.308秒,6,5,483,0,20.10982210803663,39.490354281556826,503.1098221080366,39.490354281556826
一対比較法,1,2,視聴触　,58.319秒,6,5,0,0,0,0,503.1098221080366,39.490354281556826
一対比較法,1,2,視聴触　,67.711秒,7,6,127,0,2.2961425765505368,5.998535151487959,129.29614257655055,5.998535151487959
一対比較法,2,1,視聴触　,125.634秒,7,6,0,0,0,0,129.29614257655055,5.998535151487959
一対比較法,2,1,視聴触　,132.258秒,8,7,33,0,1.9689525046850869,3.9098954549998366,34.968952504685085,3.9098954549998366
一対比較法,2,1,視聴触　,145.78秒,9,8,199,0,4.831468462942489,12.189513444901278,203.8314684629425,12.189513444901278
一対比較法,2,1,視聴触　,156.98秒,10,9,343,0,7.279837131487625,18.8248774883318,350.2798371314876,18.8248774883318
一対比較法,2,1,視聴触　,165.779秒,11,10,472,0,9.905929937368763,24.412879408586544,481.90592993736874,24.412879408586544
一対比較法,2,1,視聴触　,171.96秒,11,10,0,0,0,0,481.90592993736874,24.412879408586544
一対比較法,2,1,視聴触　,178.124秒,12,12,38,0,2.241221961084891,4.564924060001292,40.24122196108489,4.564924060001292
一対比較法,2,2,視聴触嗅,179.990秒,12,12,0,0,0,0,40.24122196108489,4.564924060001292
一対比較法,2,2,視聴触嗅,193.397秒,13,14,51,0,3.8255376928276017,9.265508651711414,54.8255376928276,9.265508651711414
一対比較法,2,2,視聴触嗅,202.628秒,14,15,58,0,6.097411089574913,14.98535111734297,64.09741108957492,14.98535111734297
一対比較法,2,2,視聴触嗅,217.540秒,15,16,242,0,10.546482253878835,23.96589081092086,252.54648225387882,23.96589081092086
一対比較法,3,1,視聴触嗅,236.770秒,15,17,0,0,0,0,252.54648225387882,23.96589081092086
一対比較法,3,1,視聴触嗅,244.241秒,16,19,34,0,2.1117594581430637,4.887249179629292,36.11175945814306,4.887249179629292
一対比較法,3,1,視聴触嗅,267.541秒,17,26,124,0,10.959225454623173,22.492904433633225,134.95922545462318,22.492904433633225
一対比較法,3,1,視聴触嗅,280.39秒,18,27,205,0,14.233004641427536,31.721419080649184,219.23300464142753,31.721419080649184
一対比較法,3,2,視聴触　,283.671秒,18,27,0,0,0,0,219.23300464142753,31.721419080649184
一対比較法,3,2,視聴触　,312.378秒,19,43,107,0,19.524442093928894,22.7920388764748,126.5244420939289,22.7920388764748
一対比較法,3,2,視聴触　,413.924秒,20,44,180,0,325.8542675575143,177.53576566618824,505.8542675575143,177.53576566618824
一対比較法,3,2,視聴触　,429.790秒,21,46,262,0,330.70433079143766,188.74182313621844,592.7043307914377,188.74182313621844
一対比較法,3,1,視聴触嗅,437.521秒,21,46,0,0,0,0,592.7043307914377,188.74182313621844
一対比較法,4,1,視　触嗅,459.614秒,22,57,115,0,18.137884563814413,16.163986436905116,133.13788456381442,16.163986436905116
一対比較法,4,1,視　触嗅,473.730秒,23,58,295,0,21.77524196260328,24.081941043089692,316.7752419626033,24.081941043089692
一対比較法,4,1,視　触嗅,484.335秒,24,59,475,0,24.489985660091026,31.007776860750063,499.489985660091,31.007776860750063
一対比較法,4,2,視聴触嗅,488.282秒,24,59,0,0,0,0,499.489985660091,31.007776860750063
一対比較法,4,2,視聴触嗅,499.154秒,25,60,101,0,14.601516074310553,9.618649200652044,115.60151607431055,9.618649200652044
一対比較法,4,2,視聴触嗅,514.832秒,26,62,285,0,20.08342698129187,19.067676577945146,305.0834269812919,19.067676577945146
一対比較法,4,2,視聴触嗅,530.344秒,27,64,367,0,24.59331039737983,26.477954890811063,391.5933103973798,26.477954890811063
一対比較法,5,1,視聴触　,538.488秒,27,64,0,0,0,0,391.5933103973798,26.477954890811063
一対比較法,5,1,視聴触　,550.96秒,28,65,118,0,9.56816377854755,7.987060545016656,127.56816377854756,7.987060545016656
一対比較法,5,1,視聴触　,560.966秒,29,66,240,0,30.35643699365214,15.050802824844945,270.35643699365215,15.050802824844945
一対比較法,5,1,視聴触　,584.131秒,30,82,387,0,78.73808565284949,31.7005461013956,465.73808565284946,31.7005461013956
一対比較法,5,1,視聴触　,598.891秒,31,86,521,0,84.9893027956526,45.5839527776409,605.9893027956526,45.5839527776409
一対比較法,5,2,視　触嗅,601.217秒,31,86,0,0,0,0,605.9893027956526,45.5839527776409
一対比較法,5,2,視　触嗅,614.124秒,32,94,54,0,5.113075943405945,7.85009820028605,59.113075943405946,7.85009820028605
一対比較法,5,2,視　触嗅,624.672秒,33,95,119,0,7.508095474645632,12.43689019245307,126.50809547464563,12.43689019245307
一対比較法,5,2,視　触嗅,632.478秒,34,96,207,0,9.320517862816123,16.056585538094208,216.32051786281613,16.056585538094208
一対比較法,5,2,視　触嗅,644.64秒,35,97,385,0,12.209888471560188,21.72616425205852,397.2098884715602,21.72616425205852
一対比較法,5,2,視　触嗅,660.537秒,36,100,475,0,27.140735196062668,31.03611316687904,502.1407351960627,31.03611316687904
一対比較法,6,1,視聴　嗅,670.119秒,36,100,0,0,0,0,502.1407351960627,31.03611316687904
一対比較法,6,1,視聴　嗅,675.761秒,37,101,5,0,1.6479492115915724,2.889404245681308,6.647949211591572,2.889404245681308
一対比較法,6,1,視聴　嗅,688.993秒,38,103,189,0,9.338378903950012,10.497312611237607,198.33837890395,10.497312611237607
一対比較法,6,1,視聴　嗅,697.544秒,39,104,316,0,11.398702998114828,15.07115308485543,327.3987029981148,15.07115308485543
