type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,0,1,視聴　嗅,7.878秒,1,1,0,0,0,0,0,0
IPQ,1,2,視聴触　,9.725秒,1,1,0,0,0,0,0,0
IPQ,2,1,視聴　　,11.685秒,1,1,0,0,0,0,0,0
IPQ,2,1,視聴　　,21.296秒,2,3,78,0,0.9503173919973769,3.9495849652343273,78.95031739199737,3.9495849652343273
IPQ,2,1,視聴　　,33.525秒,3,5,252,0,4.207751284275983,12.546381485304924,256.20775128427596,12.546381485304924
IPQ,2,1,視聴　　,47.416秒,4,10,456,0,15.424782614970562,23.181136116929142,471.4247826149706,23.181136116929142
IPQ,2,1,視聴　　,61.114秒,5,11,766,0,20.478493453648845,32.030617078914126,786.4784934536489,32.030617078914126
IPQ,2,1,視聴　　,71.889秒,6,14,974,0,26.332573747728976,38.04013081901581,1000.3325737477289,38.04013081901581
IPQ,2,1,視聴　　,87.550秒,7,22,1206,0,35.40199986167476,49.58616776486957,1241.4019998616748,49.58616776486957
IPQ,2,1,視聴　　,95.772秒,8,24,1385,0,38.632688576332384,54.09142054508969,1423.6326885763324,54.09142054508969
IPQ,2,1,視聴　　,108.878秒,9,31,1670,0,46.366550618835255,63.695376546752236,1716.3665506188352,63.695376546752236
IPQ,2,1,視聴　　,115.934秒,10,32,1797,0,56.54037457934295,73.20829156443892,1853.540374579343,73.20829156443892
IPQ,2,1,視聴　　,125.987秒,11,33,2014,0,60.79778845512321,79.59661674137443,2074.7977884551233,79.59661674137443
IPQ,2,1,視聴　　,133.623秒,12,36,2173,0,64.14778206187556,84.48503028666414,2237.1477820618757,84.48503028666414
IPQ,2,1,視聴　　,141.154秒,13,41,2329,0,68.16801619833211,88.79781638794937,2397.168016198332,88.79781638794937
IPQ,2,1,視聴　　,151.7秒,14,45,2505,0,74.51648241228514,92.91560178880026,2579.5164824122853,92.91560178880026
IPQ,2,1,視聴　　,155.749秒,15,47,2598,0,76.53948686516728,94.69654437346473,2674.5394868651674,94.69654437346473
IPQ,2,1,視聴　　,163.290秒,16,51,2700,0,80.99170896903492,98.90077225563972,2780.991708969035,98.90077225563972
IPQ,2,1,視聴　　,169.659秒,17,52,2780,0,83.31949387854867,102.2206410942831,2863.3194938785487,102.2206410942831
IPQ,2,1,視聴　　,182.143秒,18,55,2960,0,90.30667775174031,111.89364258346284,3050.30667775174,111.89364258346284
IPQ,2,1,視聴　　,190.886秒,19,56,3044,0,93.4406681531738,116.21497029797814,3137.4406681531736,116.21497029797814
IPQ,2,1,視聴　　,200.300秒,20,58,3180,0,103.40506093103602,125.62464581613834,3283.405060931036,125.62464581613834
IPQ,2,1,視聴　　,208.741秒,21,61,3335,0,108.72761326178829,132.44806325546207,3443.727613261788,132.44806325546207
IPQ,2,1,視聴　　,221.239秒,22,63,3655,0,112.643639575473,137.97967117340656,3767.643639575473,137.97967117340656
