type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
一対比較法,1,1,視聴触嗅,2.626秒,2,0,0,0,0,0,23.60961909629423,39.435424788354766
一対比較法,1,1,視聴触嗅,48.612秒,3,3,112,0,65.92895501974911,97.52014160186296,177.9289550197491,97.52014160186296
一対比較法,1,1,視聴触嗅,100.794秒,4,6,653,0,85.16046045169861,134.33532714871114,738.1604604516986,134.33532714871114
一対比較法,1,1,視聴触嗅,113.411秒,5,10,802,0,88.25311175978143,140.65246582008257,890.2531117597814,140.65246582008257
一対比較法,1,1,視聴触嗅,132.485秒,6,11,898,0,94.1637562910756,151.85302734399392,992.1637562910756,151.85302734399392
一対比較法,1,1,視聴触嗅,142.15秒,7,12,995,0,97.73979989466072,159.77959797778678,1092.7397998946608,159.77959797778678
一対比較法,1,2,視聴触　,144.590秒,7,12,0,0,0,0,1092.7397998946608,159.77959797778678
一対比較法,1,2,視聴触　,149.263秒,8,13,57,0,0.597655009475135,1.1178557854141054,57.59765500947513,1.1178557854141054
一対比較法,1,2,視聴触　,173.962秒,9,19,198,0,12.271703671121546,17.012329060130106,210.27170367112154,17.012329060130106
一対比較法,1,2,視聴触　,207.846秒,10,23,439,0,20.451024114824598,31.838378905292704,459.4510241148246,31.838378905292704
一対比較法,1,2,視聴触　,219.296秒,11,26,591,0,22.131932271968694,36.716308555990395,613.1319322719687,36.716308555990395
一対比較法,1,2,視聴触　,231.944秒,12,29,778,0,24.922213262654633,43.500340055177475,802.9222132626546,43.500340055177475
一対比較法,1,2,視聴触　,244.265秒,13,30,962,0,26.67454242606683,48.554019143658124,988.6745424260669,48.554019143658124
一対比較法,1,2,視聴触　,256.379秒,14,31,1100,0,28.397879884502707,53.996230949968016,1128.3978798845028,53.996230949968016
一対比較法,1,1,視聴触嗅,260.288秒,14,31,0,0,0,0,1128.3978798845028,53.996230949968016
一対比較法,1,1,視聴触嗅,263.366秒,15,32,4,0,0.302122310382126,1.1865191397640116,4.302122310382126,1.1865191397640116
一対比較法,1,1,視聴触嗅,270.533秒,16,33,92,0,1.5687213782944531,3.7934525493306372,93.56872137829446,3.7934525493306372
一対比較法,1,1,視聴触嗅,278.198秒,17,34,184,0,2.7832899472813026,7.004321962404854,186.7832899472813,7.004321962404854
一対比較法,1,2,視聴触　,282.975秒,17,34,0,0,0,0,186.7832899472813,7.004321962404854
一対比較法,1,1,視聴触嗅,284.388秒,17,34,0,0,0,0,186.7832899472813,7.004321962404854
一対比較法,1,2,視聴触　,287.603秒,17,34,0,0,0,0,186.7832899472813,7.004321962404854
一対比較法,1,2,視聴触　,294.682秒,18,35,72,0,1.153584047110984,3.1805614286544177,73.15358404711098,3.1805614286544177
一対比較法,1,2,視聴触　,301.416秒,19,36,131,0,2.362079709617227,6.412179008767574,133.36207970961723,6.412179008767574
一対比較法,1,2,視聴触　,349.750秒,20,37,274,0,11.1126895621169,32.588089781325785,285.1126895621169,32.588089781325785
一対比較法,2,1,視　触嗅,357.786秒,20,37,0,0,0,0,285.1126895621169,32.588089781325785
一対比較法,2,1,視　触嗅,362.413秒,21,38,14,0,2.360105542778559,2.5529713561524066,16.36010554277856,2.5529713561524066
一対比較法,2,1,視　触嗅,370.542秒,22,39,152,0,3.5759775289972264,5.630400292718457,155.5759775289972,5.630400292718457
一対比較法,2,1,視　触嗅,380.15秒,23,40,310,0,5.137814533410465,8.92089729459809,315.13781453341045,8.92089729459809
一対比較法,2,2,視聴触　,386.302秒,23,40,0,0,0,0,315.13781453341045,8.92089729459809
一対比較法,2,2,視聴触　,395.395秒,24,44,63,0,2.590473330066332,5.970908902268985,65.59047333006633,5.970908902268985
一対比較法,2,2,視聴触　,407.771秒,25,45,235,0,4.353923500544563,9.459208415245772,239.35392350054457,9.459208415245772
一対比較法,3,1,視聴触　,414.258秒,25,45,0,0,0,0,239.35392350054457,9.459208415245772
一対比較法,3,1,視聴触　,425.212秒,26,46,214,0,1.8621717807021545,3.7628173605140516,215.86217178070214,3.7628173605140516
一対比較法,3,1,視聴触　,428.847秒,27,47,219,0,2.8645833978019044,5.114135696106208,221.8645833978019,5.114135696106208
一対比較法,3,1,視聴触　,439.164秒,28,48,415,0,4.84267583944399,8.640744638749965,419.842675839444,8.640744638749965
一対比較法,3,1,視聴触　,446.755秒,29,50,507,0,6.457248035229242,11.528629604385596,513.4572480352292,11.528629604385596
一対比較法,3,2,視聴　嗅,448.55秒,29,50,0,0,0,0,513.4572480352292,11.528629604385596
一対比較法,3,2,視聴　嗅,461.293秒,30,51,133,0,1.7851804205823885,4.774636418263132,134.78518042058238,4.774636418263132
一対比較法,3,2,視聴　嗅,471.668秒,31,52,262,0,3.2157417817794007,7.563706676726337,265.2157417817794,7.563706676726337
一対比較法,3,2,視聴　嗅,485.114秒,32,54,409,0,5.1970873833466475,11.881472148154081,414.1970873833466,11.881472148154081
一対比較法,4,1,視聴触嗅,495.585秒,32,54,0,0,0,0,414.1970873833466,11.881472148154081
一対比較法,4,1,視聴触嗅,504.789秒,33,55,85,0,2.043456825735359,4.9877888162206805,87.04345682573536,4.9877888162206805
一対比較法,4,1,視聴触嗅,516.465秒,34,59,244,0,4.2973303730717,10.134676649263701,248.2973303730717,10.134676649263701
一対比較法,4,1,視聴触嗅,524.406秒,35,60,374,0,5.934240717386954,13.375609125746745,379.93424071738696,13.375609125746745
一対比較法,4,2,視　触嗅,528.972秒,35,60,0,0,0,0,379.93424071738696,13.375609125746745
