type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視聴　嗅,2.353秒,1,1,0,0,0,0,0,0
IPQ,1,2,視聴触　,6.986秒,1,1,0,0,0,0,0,0
IPQ,2,1,視聴触嗅,9.796秒,1,1,0,0,0,0,0,0
IPQ,2,2,視　触嗅,11.865秒,1,1,0,0,0,0,0,0
IPQ,3,1,視聴　　,13.715秒,1,1,0,0,0,0,0,0
IPQ,3,2,視　触　,15.496秒,1,1,0,0,0,0,0,0
IPQ,3,2,視　触　,22.442秒,2,4,74,0,4.738272428512557,4.2985403537750155,78.73827242851256,4.2985403537750155
IPQ,3,2,視　触　,31.240秒,3,7,104,0,11.964111328124499,12.194824218749908,115.9641113281245,12.194824218749908
IPQ,3,2,視　触　,37.797秒,4,8,227,0,15.507202148436955,15.8203124979218,242.50720214843696,15.8203124979218
IPQ,3,2,視　触　,46.307秒,5,9,407,0,16.605834960936836,19.291992187498042,423.6058349609368,19.291992187498042
IPQ,3,2,視　触　,52.998秒,6,10,537,0,17.528686523433596,22.351684570302446,554.5286865234336,22.351684570302446
IPQ,3,2,視　触　,58.242秒,7,11,627,0,18.836059570312084,24.625854492183606,645.836059570312,24.625854492183606
IPQ,3,2,視　触　,63.591秒,8,12,723,0,19.731445312499627,26.542967353248123,742.7314453124997,26.542967353248123
IPQ,3,2,視　触　,73.323秒,9,14,907,0,22.423095702334066,30.31677106377112,929.4230957023341,30.31677106377112
IPQ,3,2,視　触　,80.9秒,10,15,1023,0,23.382932915483096,32.70007101798325,1046.382932915483,32.70007101798325
IPQ,3,2,視　触　,88.524秒,11,17,1168,0,25.131225585137052,35.64514020432998,1193.1312255851371,35.64514020432998
IPQ,3,2,視　触　,95.76秒,12,18,1295,0,26.043090818951292,37.69958356360768,1321.0430908189512,37.69958356360768
IPQ,3,2,視　触　,103.34秒,13,19,1480,0,27.064819334574338,39.86938336829026,1507.0648193345744,39.86938336829026
IPQ,3,2,視　触　,111.626秒,14,20,1665,0,28.097530044433494,41.94027728294235,1693.0975300444336,41.94027728294235
IPQ,3,2,視　触　,120.31秒,15,21,1852,0,29.205778612474585,45.16616154975437,1881.2057786124747,45.16616154975437
IPQ,3,2,視　触　,125.692秒,16,22,1954,0,29.904783748716014,46.527092818866485,1983.904783748716,46.527092818866485
IPQ,3,2,視　触　,134.274秒,17,25,2044,0,31.821897969197806,50.394280474229106,2075.821897969198,50.394280474229106
IPQ,3,2,視　触　,139.659秒,18,26,2142,0,32.23388527379362,51.70621238774777,2174.2338852737935,51.70621238774777
IPQ,3,2,視　触　,149.377秒,19,28,2319,0,33.20617531138684,53.73961110543787,2352.2061753113867,53.73961110543787
IPQ,3,2,視　触　,160.977秒,20,31,2477,0,34.99690200400573,57.810044630768395,2511.9969020040057,57.810044630768395
IPQ,3,2,視　触　,169.748秒,21,32,2658,0,35.9499665131883,60.29570221503444,2693.9499665131884,60.29570221503444
IPQ,3,2,視　触　,180.972秒,22,36,2811,0,38.27632151949927,65.16538759586335,2849.276321519499,65.16538759586335
IPQ,3,2,視　触　,190.457秒,23,38,3002,0,39.79236972528671,68.74140129211119,3041.792369725287,68.74140129211119
