type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視聴触嗅,3.682秒,2,0,0,0,0,0,0.43395763563580436,0.7031249999953147
IPQ,1,2,視　触嗅,9.19秒,2,0,0,0,0,0,0.43395763563580436,0.7031249999953147
IPQ,2,1,視聴　　,11.250秒,2,0,0,0,0,0,0.43395763563580436,0.7031249999953147
IPQ,2,2,視　触　,17.169秒,2,0,0,0,0,0,0.43395763563580436,0.7031249999953147
IPQ,3,1,視　　嗅,21.915秒,2,0,0,0,0,0,0.43395763563580436,0.7031249999953147
IPQ,3,1,視　　嗅,31.507秒,3,1,61,0,2.6147460875406994,4.394531249710571,63.6147460875407,4.394531249710571
IPQ,3,1,視　　嗅,35.888秒,4,2,108,0,5.515136673212068,7.8881835672393725,113.51513667321207,7.8881835672393725
IPQ,3,1,視　　嗅,47.307秒,5,3,347,0,8.091430578573686,11.925600275506453,355.0914305785737,11.925600275506453
IPQ,3,1,視　　嗅,54.358秒,6,4,483,0,9.400176100042518,15.246208821123965,492.40017610004253,15.246208821123965
IPQ,3,1,視　　嗅,65.903秒,7,5,735,0,11.513802765348776,19.010538235507465,746.5138027653488,19.010538235507465
IPQ,3,1,視　　嗅,73.809秒,8,7,876,0,13.444512756555968,22.373587415764106,889.4445127565559,22.373587415764106
IPQ,3,1,視　　嗅,80.261秒,9,8,980,0,14.716314305438964,24.32242324311993,994.7163143054389,24.32242324311993
IPQ,3,1,視　　嗅,89.679秒,10,11,1086,0,17.726694777451968,30.689936429894523,1103.726694777452,30.689936429894523
IPQ,3,1,視　　嗅,96.444秒,11,12,1210,0,19.62767054030711,34.39255262447575,1229.627670540307,34.39255262447575
IPQ,3,1,視　　嗅,104.284秒,12,13,1359,0,21.526777106201255,37.55513657841762,1380.5267771062013,37.55513657841762
IPQ,3,1,視　　嗅,110.534秒,13,14,1462,0,23.703510608152627,40.18774635469843,1485.7035106081526,40.18774635469843
IPQ,3,1,視　　嗅,119.319秒,14,16,1573,0,26.59389261910929,44.321003273136334,1599.5938926191093,44.321003273136334
IPQ,3,1,視　　嗅,133.219秒,15,22,1735,0,31.05552103737212,52.26574322278056,1766.055521037372,52.26574322278056
IPQ,3,1,視　　嗅,151.544秒,16,34,1903,0,37.15575243736411,64.09366817259279,1940.155752437364,64.09366817259279
IPQ,3,1,視　　嗅,162.32秒,17,36,2035,0,39.94217689409057,70.15057876182439,2074.9421768940906,70.15057876182439
IPQ,3,1,視　　嗅,179.326秒,18,47,2152,0,43.48525947075275,78.59897418974704,2195.4852594707527,78.59897418974704
IPQ,3,1,視　　嗅,192.903秒,19,53,2295,0,46.66497021231778,85.9817852799205,2341.6649702123177,85.9817852799205
IPQ,3,1,視　　嗅,205.323秒,20,65,2452,0,49.99897082456135,91.35079365116513,2501.998970824561,91.35079365116513
IPQ,3,1,視　　嗅,214.698秒,21,67,2626,0,51.74060142742398,94.43513955579978,2677.740601427424,94.43513955579978
IPQ,3,1,視　　嗅,221.922秒,22,70,2750,0,53.806745308659124,97.11482677881183,2803.806745308659,97.11482677881183
IPQ,3,1,視　　嗅,228.632秒,23,71,2879,0,55.05694998686837,99.72520417175035,2934.0569499868684,99.72520417175035
IPQ,3,1,視　　嗅,238.413秒,24,72,3068,0,57.25681314062464,103.8681413159855,3125.2568131406247,103.8681413159855
