type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
一対比較法,1,1,視聴　嗅,5.823秒,2,0,0,0,0,0,0.21045684814390497,0.5368709481251703
一対比較法,1,1,視聴　嗅,13.304秒,3,1,75,0,7.855224609374961,6.075439453124966,82.85522460937496,6.075439453124966
一対比較法,1,1,視聴　嗅,22.854秒,4,2,249,0,14.447021484374819,12.458496093749659,263.44702148437483,12.458496093749659
一対比較法,1,1,視聴　嗅,33.304秒,5,3,483,0,22.474830150603893,20.240850448433854,505.4748301506039,20.240850448433854
一対比較法,1,2,視聴触　,37.894秒,5,3,0,0,0,0,505.4748301506039,20.240850448433854
一対比較法,1,2,視聴触　,52.654秒,6,5,65,0,3.6859130693459963,7.283935519222477,68.685913069346,7.283935519222477
一対比較法,1,2,視聴触　,60.255秒,7,6,185,0,6.78405761718739,9.981079101562216,191.7840576171874,9.981079101562216
一対比較法,1,2,視聴触　,72.470秒,8,8,379,0,11.590576171766383,15.99060058593674,390.5905761717664,15.99060058593674
一対比較法,1,2,視聴触　,80.273秒,9,9,540,0,14.040526127974239,18.885496830708387,554.0405261279742,18.885496830708387
一対比較法,2,1,視聴触嗅,85.618秒,9,9,0,0,0,0,554.0405261279742,18.885496830708387
一対比較法,2,1,視聴触嗅,93.340秒,10,10,72,0,2.169799804687476,3.4661864653675303,74.16979980468747,3.4661864653675303
一対比較法,2,1,視聴触嗅,105.139秒,11,12,270,0,7.108154296874902,9.514160098178781,277.1081542968749,9.514160098178781
一対比較法,2,2,視聴触　,110.692秒,11,12,0,0,0,0,277.1081542968749,9.514160098178781
一対比較法,2,2,視聴触　,117.586秒,12,14,65,0,2.735425622279908,3.779127030122254,67.7354256222799,3.779127030122254
一対比較法,2,2,視聴触　,130.469秒,13,18,198,0,9.22302222497001,13.590087890624794,207.22302222497,13.590087890624794
一対比較法,3,1,視聴触　,137.224秒,13,18,0,0,0,0,207.22302222497,13.590087890624794
一対比較法,3,1,視聴触　,142.289秒,14,19,75,0,1.8347063398697352,2.36203264286233,76.83470633986974,2.36203264286233
一対比較法,3,1,視聴触　,145.554秒,15,20,82,0,3.4551897363385917,4.1582972912997995,85.4551897363386,4.1582972912997995
一対比較法,3,2,視聴触嗅,149.850秒,15,20,0,0,0,0,85.4551897363386,4.1582972912997995
一対比較法,3,2,視聴触嗅,159.271秒,16,21,164,0,3.5156249067785863,3.153076078653452,167.51562490677858,3.153076078653452
一対比較法,3,2,視聴触嗅,169.304秒,17,23,318,0,7.432250800476644,7.976069696991138,325.43225080047665,7.976069696991138
一対比較法,3,2,視聴触嗅,182.488秒,18,25,599,0,11.991577055214904,13.14496752494841,610.9915770552149,13.14496752494841
一対比較法,4,1,視聴触　,187.989秒,18,25,0,0,0,0,610.9915770552149,13.14496752494841
一対比較法,4,1,視聴触　,199.336秒,19,27,184,0,4.3011474609374485,5.14709472656245,188.30114746093744,5.14709472656245
一対比較法,4,1,視聴触　,211.969秒,20,30,367,0,9.530639648437266,12.853725186441714,376.5306396484373,12.853725186441714
一対比較法,4,2,視　触嗅,214.448秒,20,30,0,0,0,0,376.5306396484373,12.853725186441714
一対比較法,4,2,視　触嗅,220.557秒,21,31,46,0,2.2482488417512054,3.3946939277760397,48.248248841751206,3.3946939277760397
一対比較法,4,2,視　触嗅,231.820秒,22,34,196,0,8.096923826723422,11.019286888404864,204.0969238267234,11.019286888404864
一対比較法,4,2,視　触嗅,239.857秒,23,35,369,0,10.453491209531713,14.479980247774943,379.4534912095317,14.479980247774943
一対比較法,5,1,視聴　嗅,244.803秒,23,35,0,0,0,0,379.4534912095317,14.479980247774943
一対比較法,5,1,視聴　嗅,254.709秒,24,37,106,0,3.7871932823678485,5.17282996300586,109.78719328236785,5.17282996300586
一対比較法,5,1,視聴　嗅,263.491秒,25,38,296,0,6.295163381210618,9.013010831538876,302.2951633812106,9.013010831538876
一対比較法,5,1,視聴　嗅,270.256秒,26,39,426,0,7.673947555741869,11.094910146258703,433.67394755574185,11.094910146258703
一対比較法,5,2,視聴触嗅,275.815秒,26,39,0,0,0,0,433.67394755574185,11.094910146258703
