type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視聴触嗅,2.183秒,2,0,0,0,0,0,1.7742867543810124,2.4664306640570843
IPQ,1,2,視　触嗅,8.579秒,2,0,0,0,0,0,1.7742867543810124,2.4664306640570843
IPQ,1,2,視　触嗅,22.359秒,3,2,116,0,4.894409179687473,6.448974609375016,120.89440917968747,6.448974609375016
IPQ,1,2,視　触嗅,30.636秒,4,4,276,0,6.366577148430261,9.05273437499127,282.3665771484303,9.05273437499127
IPQ,1,2,視　触嗅,37.642秒,5,7,392,0,7.640991210937089,11.28295898436429,399.6409912109371,11.28295898436429
IPQ,1,2,視　触嗅,47.425秒,6,9,563,0,9.453727258159253,13.612053925244885,572.4537272581592,13.612053925244885
IPQ,1,2,視　触嗅,55.794秒,7,11,741,0,10.717163085493487,15.639038085401532,751.7171630854934,15.639038085401532
IPQ,1,2,視　触嗅,68.327秒,8,14,932,0,13.529663085624474,19.66003417967724,945.5296630856245,19.66003417967724
IPQ,1,2,視　触嗅,75.494秒,9,15,1054,0,15.897216796561757,22.675781249989676,1069.8972167965617,22.675781249989676
IPQ,1,2,視　触嗅,87.27秒,10,17,1234,0,18.175661856541307,26.33318447438958,1252.1756618565414,26.33318447438958
IPQ,1,2,視　触嗅,93.844秒,11,18,1365,0,19.561157224081022,28.295283062062502,1384.561157224081,28.295283062062502
IPQ,1,2,視　触嗅,104.45秒,12,20,1548,0,21.665038710737797,31.772447648995247,1569.6650387107377,31.772447648995247
IPQ,1,2,視　触嗅,112.762秒,13,22,1650,0,24.312744104890093,35.123282189573494,1674.31274410489,35.123282189573494
IPQ,1,2,視　触嗅,118.462秒,14,23,1746,0,25.625610314366085,36.58995699287006,1771.625610314366,36.58995699287006
IPQ,1,2,視　触嗅,124.45秒,15,24,1843,0,26.89453121280247,38.2598788678714,1869.8945312128026,38.2598788678714
IPQ,1,2,視　触嗅,130.613秒,16,25,1974,0,28.097534142489778,39.98747871564597,2002.0975341424898,39.98747871564597
IPQ,1,2,視　触嗅,139.30秒,17,26,2155,0,29.388427695250027,42.341296562065786,2184.38842769525,42.341296562065786
IPQ,1,2,視　触嗅,145.782秒,18,27,2291,0,30.74908237657291,44.34024574379382,2321.749082376573,44.34024574379382
IPQ,1,2,視　触嗅,150.613秒,19,28,2368,0,31.441207624719507,45.65287939469476,2399.4412076247195,45.65287939469476
IPQ,1,2,視　触嗅,158.16秒,20,30,2470,0,32.80832569440604,48.02769812856607,2502.808325694406,48.02769812856607
IPQ,1,2,視　触嗅,167.739秒,21,32,2647,0,34.321671103543906,50.62973598328056,2681.321671103544,50.62973598328056
IPQ,1,2,視　触嗅,178.467秒,22,35,2782,0,36.45290098353389,55.119327481023205,2818.4529009835337,55.119327481023205
IPQ,1,2,視　触嗅,187.233秒,23,36,2958,0,37.899585428184,58.78331262975055,2995.899585428184,58.78331262975055
IPQ,1,2,視　触嗅,193.865秒,24,37,3083,0,38.9660522645732,60.97066456463877,3121.966052264573,60.97066456463877
IPQ,1,2,視　触嗅,202.894秒,25,39,3208,0,40.90885844127237,64.3625453127493,3248.9088584412725,64.3625453127493
