type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視　　嗅,3.279秒,2,0,0,0,0,0,0.9722899876399191,1.7028806773102207
IPQ,1,1,視　　嗅,14.956秒,3,1,32,0,10.898432947636369,12.48595736169873,42.898432947636365,12.48595736169873
IPQ,1,1,視　　嗅,17.522秒,4,2,63,0,14.644775390575843,14.551391601524768,77.64477539057584,14.551391601524768
IPQ,1,1,視　　嗅,23.989秒,5,3,185,0,22.142944335933777,20.2423095392707,207.14294433593378,20.2423095392707
IPQ,1,1,視　　嗅,31.389秒,6,5,329,0,31.898803198218125,26.75720188434414,360.8988031982181,26.75720188434414
IPQ,1,1,視　　嗅,39.722秒,7,6,492,0,35.233153781534924,30.10803196158065,527.233153781535,30.10803196158065
IPQ,1,1,視　　嗅,46.788秒,8,8,607,0,38.09504816375359,33.68955839495212,645.0950481637536,33.68955839495212
IPQ,1,1,視　　嗅,54.308秒,9,9,784,0,42.23144479715846,37.6391598518947,826.2314447971585,37.6391598518947
IPQ,1,1,視　　嗅,62.924秒,10,10,958,0,47.99377389872002,48.04870575033112,1005.9937738987201,48.04870575033112
IPQ,1,1,視　　嗅,71.105秒,11,12,1102,0,55.0291218841841,61.686984186894314,1157.0291218841842,61.686984186894314
IPQ,1,1,視　　嗅,76.257秒,12,13,1192,0,58.14514065361169,67.07153289876628,1250.1451406536116,67.07153289876628
IPQ,1,1,視　　嗅,87.390秒,13,18,1376,0,71.81474093346732,88.34470127657526,1447.8147409334674,88.34470127657526
IPQ,1,1,視　　嗅,93.57秒,14,19,1463,0,77.65680127529272,94.68015651890352,1540.6568012752928,94.68015651890352
IPQ,1,1,視　　嗅,104.555秒,15,23,1647,0,89.40156603522486,109.70357670001653,1736.401566035225,109.70357670001653
IPQ,1,1,視　　嗅,111.608秒,16,24,1793,0,99.12301565140729,119.63399353494394,1892.1230156514073,119.63399353494394
IPQ,1,1,視　　嗅,118.590秒,17,25,1925,0,109.32492235585842,135.4668889801621,2034.3249223558585,135.4668889801621
IPQ,1,1,視　　嗅,126.591秒,18,26,2108,0,123.65658739482811,156.98361261288994,2231.656587394828,156.98361261288994
IPQ,1,1,視　　嗅,137.836秒,19,30,2291,0,136.13132193304705,173.66630237599034,2427.131321933047,173.66630237599034
IPQ,1,1,視　　嗅,142.574秒,20,31,2386,0,141.6999404768495,184.00959442978993,2527.6999404768494,184.00959442978993
IPQ,1,1,視　　嗅,148.906秒,21,33,2480,0,147.99656561394292,192.54892302758373,2627.996565613943,192.54892302758373
IPQ,1,1,視　　嗅,155.392秒,22,34,2604,0,154.11040227906736,200.78313146004552,2758.1104022790673,200.78313146004552
IPQ,1,1,視　　嗅,162.608秒,23,35,2749,0,162.09746280374736,212.83428767308172,2911.0974628037475,212.83428767308172
IPQ,1,1,視　　嗅,171.607秒,24,37,2927,0,173.52861778302017,239.93193516350306,3100.5286177830203,239.93193516350306
IPQ,1,1,視　　嗅,177.22秒,25,38,3016,0,178.28572804134618,247.8805922525731,3194.2857280413464,247.8805922525731
IPQ,1,1,視　　嗅,184.995秒,26,39,3200,0,183.18559272997425,253.02767898923892,3383.1855927299744,253.02767898923892
IPQ,1,1,視　　嗅,189.439秒,27,40,3289,0,186.78362068680724,255.3567706506297,3475.7836206868074,255.3567706506297
