type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
一対比較法,1,1,視聴触　,1.999秒,1,1,0,0,0,0,0,0
一対比較法,1,1,視聴触　,16.276秒,2,2,82,0,10.753706634347292,12.952868446821928,92.7537066343473,12.952868446821928
一対比較法,1,1,視聴触　,29.958秒,3,4,263,0,15.688476561400314,22.67578102439939,278.6884765614003,22.67578102439939
一対比較法,1,1,視聴触　,75.507秒,4,18,502,0,49.39040229693908,77.97683693259835,551.3904022969391,77.97683693259835
一対比較法,1,1,視聴触　,82.160秒,5,20,631,0,54.60371534650465,92.04894996970638,685.6037153465046,92.04894996970638
一対比較法,1,1,視聴触　,94.357秒,6,26,808,0,70.52836997308255,119.05035960890709,878.5283699730826,119.05035960890709
一対比較法,1,1,視聴触　,103.14秒,7,32,931,0,88.45808537650535,151.51519174703606,1019.4580853765053,151.51519174703606
一対比較法,1,1,視聴触　,107.793秒,8,33,1021,0,93.73546521824089,164.54281357407066,1114.735465218241,164.54281357407066
一対比較法,1,2,視聴触嗅,109.82秒,8,33,0,0,0,0,1114.735465218241,164.54281357407066
一対比較法,1,2,視聴触嗅,115.58秒,9,35,85,0,7.965045608904664,13.886527458759574,92.96504560890466,13.886527458759574
一対比較法,1,2,視聴触嗅,117.610秒,10,37,94,0,10.673217205574819,19.09641157182272,104.67321720557482,19.09641157182272
一対比較法,1,2,視聴触嗅,123.476秒,11,39,177,0,17.034294978717057,26.990078919886756,194.03429497871707,26.990078919886756
一対比較法,1,2,視聴触嗅,128.159秒,12,40,260,0,21.15821293194899,31.758505291458505,281.158212931949,31.758505291458505
一対比較法,1,2,視聴触嗅,135.856秒,13,43,382,0,27.481435646345734,42.8946683742717,409.48143564634574,42.8946683742717
一対比較法,1,2,視聴触嗅,144.277秒,14,44,552,0,38.15465231570263,53.403038786107786,590.1546523157026,53.403038786107786
一対比較法,2,1,視　触嗅,163.980秒,14,44,0,0,0,0,590.1546523157026,53.403038786107786
一対比較法,2,1,視　触嗅,172.927秒,15,46,109,0,9.554971792045693,18.683686963143025,118.55497179204569,18.683686963143025
一対比較法,2,1,視　触嗅,177.566秒,16,47,163,0,12.972941912335651,26.307081235916968,175.97294191233564,26.307081235916968
一対比較法,2,1,視　触嗅,185.101秒,17,48,338,0,14.849610785713942,32.03110483723419,352.84961078571394,32.03110483723419
一対比較法,2,1,視　触嗅,192.166秒,18,50,459,0,20.439041305830795,42.85676536652944,479.4390413058308,42.85676536652944
一対比較法,2,1,視　触嗅,201.500秒,19,52,674,0,31.84251383338592,57.809920334207064,705.842513833386,57.809920334207064
一対比較法,2,1,視　触嗅,208.478秒,20,54,821,0,45.784431875593924,78.17907993407525,866.7844318755939,78.17907993407525
一対比較法,2,2,視聴　嗅,219.953秒,20,54,0,0,0,0,866.7844318755939,78.17907993407525
一対比較法,2,2,視聴　嗅,227.209秒,21,56,123,0,7.124624392404859,8.250709539638073,130.12462439240485,8.250709539638073
一対比較法,2,2,視聴　嗅,232.603秒,22,57,232,0,10.453550763056615,13.460135916101944,242.45355076305663,13.460135916101944
一対比較法,2,2,視聴　嗅,242.11秒,23,59,411,0,15.891341615800433,21.397402336026875,426.89134161580046,21.397402336026875
一対比較法,2,2,視聴　嗅,250.594秒,24,60,596,0,22.44284851306913,27.3222220128695,618.4428485130692,27.3222220128695
一対比較法,3,1,視聴　嗅,255.356秒,24,60,0,0,0,0,618.4428485130692,27.3222220128695
一対比較法,3,1,視聴　嗅,262.736秒,25,61,142,0,8.646373975035358,11.220008832245464,150.64637397503535,11.220008832245464
一対比較法,3,1,視聴　嗅,270.30秒,26,62,310,0,12.475863342505294,18.281337533482624,322.4758633425053,18.281337533482624
一対比較法,3,1,視聴　嗅,278.276秒,27,63,487,0,19.6716229204368,25.547839297798134,506.6716229204368,25.547839297798134
一対比較法,3,2,視聴触　,279.607秒,27,63,0,0,0,0,506.6716229204368,25.547839297798134
一対比較法,3,2,視聴触　,284.832秒,28,64,113,0,3.1988598872993004,5.162035130730714,116.1988598872993,5.162035130730714
一対比較法,3,2,視聴触　,293.237秒,29,66,281,0,8.64202841281948,13.58863948245727,289.64202841281946,13.58863948245727
一対比較法,3,2,視聴触　,299.974秒,30,67,397,0,13.39887874864703,23.043489617805985,410.398878748647,23.043489617805985
一対比較法,3,2,視聴触　,310.430秒,31,71,576,0,20.08537744126965,35.20938030161913,596.0853774412697,35.20938030161913
一対比較法,3,2,視聴触　,317.260秒,32,72,720,0,34.412218521143814,51.718475198306955,754.4122185211438,51.718475198306955
一対比較法,3,2,視聴触　,324.314秒,33,75,809,0,45.16921344091252,69.25693954242553,854.1692134409125,69.25693954242553
一対比較法,4,1,視　触嗅,341.83秒,33,75,0,0,0,0,854.1692134409125,69.25693954242553
一対比較法,4,1,視　触嗅,346.674秒,34,77,57,0,9.98497323066919,14.08241265354193,66.9849732306692,14.08241265354193
一対比較法,4,1,視　触嗅,354.893秒,35,79,231,0,16.704532569479237,25.22370039567281,247.70453256947923,25.22370039567281
一対比較法,4,1,視　触嗅,362.842秒,36,82,320,0,31.07981451721543,50.16584033154398,351.0798145172154,50.16584033154398
一対比較法,4,1,視　触嗅,372.957秒,37,86,505,0,55.683961897043034,92.311365576564,560.683961897043,92.311365576564
一対比較法,4,1,視　触嗅,382.149秒,38,90,601,0,70.33958144204259,118.88028365168539,671.3395814420426,118.88028365168539
一対比較法,4,2,視聴触嗅,382.550秒,38,90,0,0,0,0,671.3395814420426,118.88028365168539
一対比較法,4,2,視聴触嗅,389.466秒,39,91,167,0,15.690903122859847,15.825816915151158,182.69090312285985,15.825816915151158
一対比較法,4,2,視聴触嗅,398.401秒,40,92,348,0,25.298441689624937,25.839674223415685,373.29844168962495,25.839674223415685
一対比較法,4,2,視聴触嗅,407.407秒,41,94,541,0,39.19961769615964,46.770189617940126,580.1996176961596,46.770189617940126
一対比較法,4,2,視聴触嗅,413.175秒,42,95,625,0,45.20535260453055,52.50005460992774,670.2053526045305,52.50005460992774
一対比較法,5,1,視聴　嗅,418.239秒,42,95,0,0,0,0,670.2053526045305,52.50005460992774
一対比較法,5,1,視聴　嗅,421.123秒,43,96,34,0,3.652950250527234,6.531322118270328,37.65295025052723,6.531322118270328
一対比較法,5,1,視聴　嗅,427.659秒,44,97,181,0,9.080197182761658,13.52411912722078,190.08019718276165,13.52411912722078
一対比較法,5,1,視聴　嗅,436.906秒,45,99,389,0,18.9788595694416,27.19657946786769,407.9788595694416,27.19657946786769
