type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
一対比較法,1,1,視聴触嗅,6.405秒,2,0,0,0,0,0,130.32006474075033,119.9267165197918
一対比較法,1,1,視聴触嗅,16.708秒,3,1,130,0,4.541473388671834,3.181571960449224,134.54147338867185,3.181571960449224
一対比較法,1,1,視聴触嗅,24.140秒,4,2,258,0,6.289672851562219,6.355590820312479,264.2896728515622,6.355590820312479
一対比較法,1,1,視聴触嗅,30.776秒,5,3,400,0,7.844236073845964,9.578876494919934,407.844236073846,9.578876494919934
一対比較法,1,1,視聴触嗅,40.275秒,6,5,555,0,12.013547596050454,14.630259274850193,567.0135475960504,14.630259274850193
一対比較法,1,2,視　触嗅,41.506秒,6,5,0,0,0,0,567.0135475960504,14.630259274850193
一対比較法,1,2,視　触嗅,49.393秒,7,6,89,0,4.210081094557987,10.792436598746974,93.21008109455799,10.792436598746974
一対比較法,1,2,視　触嗅,54.226秒,8,7,171,0,5.672628175774057,12.797421750148581,176.67262817577407,12.797421750148581
一対比較法,1,2,視　触嗅,60.336秒,9,8,250,0,7.4399558351647865,15.90017855404393,257.43995583516477,15.90017855404393
一対比較法,2,1,視聴触嗅,84.452秒,9,8,0,0,0,0,257.43995583516477,15.90017855404393
一対比較法,2,1,視聴触嗅,87.340秒,10,9,0,0,0.6042480468744338,1.7138671874999951,0.6042480468744338,1.7138671874999951
一対比較法,2,1,視聴触嗅,97.609秒,11,10,114,0,10.947484431584442,20.884226632117162,124.94748443158444,20.884226632117162
一対比較法,2,1,視聴触嗅,104.865秒,12,12,227,0,15.413830373772266,28.880728312409374,242.41383037377227,28.880728312409374
一対比較法,2,2,視聴　嗅,105.337秒,12,12,0,0,0,0,242.41383037377227,28.880728312409374
一対比較法,2,2,視聴　嗅,115.606秒,13,13,208,0,3.1811118090442845,7.443485053255177,211.1811118090443,7.443485053255177
一対比較法,2,2,視聴　嗅,121.776秒,14,14,327,0,4.554402824844436,9.926395209469383,331.55440282484443,9.926395209469383
一対比較法,3,1,視聴触嗅,139.78秒,14,14,0,0,0,0,331.55440282484443,9.926395209469383
一対比較法,3,1,視聴触嗅,148.657秒,15,16,129,0,14.716207116280913,17.11677425910334,143.7162071162809,17.11677425910334
一対比較法,3,1,視聴触嗅,153.541秒,16,17,164,0,17.325460038633416,19.05586117302752,181.32546003863342,19.05586117302752
一対比較法,3,1,視聴触嗅,161.158秒,17,18,285,0,26.202877185792808,33.9972674230268,311.20287718579283,33.9972674230268
一対比較法,3,1,視聴触嗅,167.224秒,18,19,407,0,27.070797106733345,35.650709801172226,434.0707971067333,35.650709801172226
一対比較法,3,1,視聴触嗅,176.191秒,19,20,580,0,34.31628050607342,50.27351253554659,614.3162805060734,50.27351253554659
一対比較法,3,2,視聴触　,182.972秒,19,20,0,0,0,0,614.3162805060734,50.27351253554659
一対比較法,3,2,視聴触　,191.708秒,20,22,83,0,10.596313476396368,13.018798827875678,93.59631347639638,13.018798827875678
