type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視聴　　,2.133秒,2,0,0,0,0,0,0.928344719528392,0.8184814405906575
IPQ,1,2,視　触　,5.133秒,2,0,0,0,0,0,0.928344719528392,0.8184814405906575
IPQ,2,1,視聴触嗅,6.4秒,2,0,0,0,0,0,0.928344719528392,0.8184814405906575
IPQ,2,2,視　触嗅,6.864秒,2,0,0,0,0,0,0.928344719528392,0.8184814405906575
IPQ,3,1,視　　嗅,8.652秒,2,0,0,0,0,0,0.928344719528392,0.8184814405906575
IPQ,3,2,視　　　,9.585秒,2,0,0,0,0,0,0.928344719528392,0.8184814405906575
IPQ,4,1,視聴　嗅,10.635秒,2,0,0,0,0,0,0.928344719528392,0.8184814405906575
IPQ,4,1,視聴　嗅,14.504秒,3,1,10,0,1.9720458984375013,2.3785400390625,11.972045898437502,2.3785400390625
IPQ,4,1,視聴　嗅,21.492秒,4,2,139,0,4.064940718788128,4.564818844893307,143.06494071878814,4.564818844893307
IPQ,4,1,視聴　嗅,29.792秒,5,3,319,0,6.9416213035129095,7.261061668364896,325.94162130351293,7.261061668364896
IPQ,4,1,視聴　嗅,36.642秒,6,4,463,0,8.83300634170894,9.508665770001942,471.83300634170894,9.508665770001942
IPQ,4,1,視聴　嗅,43.275秒,7,5,606,0,11.513669793125851,11.260986328091281,617.5136697931258,11.260986328091281
IPQ,4,1,視聴　嗅,49.823秒,8,6,756,0,13.298948109929135,13.38684076128682,769.2989481099291,13.38684076128682
IPQ,4,1,視聴　嗅,56.75秒,9,7,888,0,15.529172045320877,15.474243101714698,903.5291720453208,15.474243101714698
IPQ,4,1,視聴　嗅,60.775秒,10,8,976,0,17.495600903887087,17.17683491812364,993.4956009038871,17.17683491812364
IPQ,4,1,視聴　嗅,65.343秒,11,9,1067,0,19.38940438660328,18.762329841502687,1086.3894043866032,18.762329841502687
IPQ,4,1,視聴　嗅,71.508秒,12,10,1191,0,21.165134815030385,20.275259119572095,1212.1651348150303,20.275259119572095
IPQ,4,1,視聴　嗅,78.28秒,13,11,1334,0,22.873529506458723,22.258299613823894,1356.8735295064587,22.258299613823894
IPQ,4,1,視聴　嗅,84.475秒,14,12,1468,0,25.257562698672682,24.631346486300963,1493.2575626986727,24.631346486300963
IPQ,4,1,視聴　嗅,93.824秒,15,15,1660,0,28.550204609039355,27.850303881632122,1688.5502046090394,27.850303881632122
IPQ,4,1,視聴　嗅,101.426秒,16,16,1843,0,31.192504362435365,29.81689301210225,1874.1925043624353,29.81689301210225
IPQ,4,1,視聴　嗅,107.411秒,17,17,1976,0,33.17414278979101,31.63542213797889,2009.174142789791,31.63542213797889
IPQ,4,1,視聴　嗅,114.223秒,18,19,2102,0,35.51562356810316,34.200386322886544,2137.5156235681034,34.200386322886544
IPQ,4,1,視聴　嗅,122.757秒,19,21,2283,0,38.657713372548905,37.61164115691427,2321.657713372549,37.61164115691427
IPQ,4,1,視聴　嗅,130.312秒,20,23,2422,0,42.11837205962272,40.85260681154914,2464.1183720596227,40.85260681154914
IPQ,4,1,視聴　嗅,138.396秒,21,24,2609,0,44.766057985396934,43.59918324212174,2653.766057985397,43.59918324212174
IPQ,4,1,視聴　嗅,145.445秒,22,26,2736,0,48.19366744808906,46.94986084290646,2784.193667448089,46.94986084290646
IPQ,4,1,視聴　嗅,151.776秒,23,27,2872,0,51.43475182974382,49.8393827246945,2923.4347518297436,49.8393827246945
IPQ,4,1,視聴　嗅,161.810秒,24,28,3104,0,55.5505047603024,53.23278460787411,3159.5505047603024,53.23278460787411
IPQ,4,1,視聴　嗅,169.676秒,25,30,3258,0,61.08775929860244,57.47359642888973,3319.0877592986026,57.47359642888973
IPQ,4,1,視聴　嗅,174.315秒,26,31,3348,0,63.10643705431317,59.196611746525306,3411.106437054313,59.196611746525306
IPQ,4,1,視聴　嗅,181.915秒,27,32,3528,0,65.80911215083701,62.15431170690336,3593.809112150837,62.15431170690336
IPQ,4,1,視聴　嗅,190.408秒,28,34,3713,0,69.42174127245679,65.98011134028046,3782.421741272457,65.98011134028046
IPQ,4,1,視聴　嗅,199.128秒,29,36,3900,0,73.49122966056241,69.8989845007646,3973.4912296605626,69.8989845007646
