type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,2,視聴触　,2.848秒,1,1,0,0,0,0,0,0
IPQ,1,2,視聴触　,13.256秒,2,3,78,0,3.444213814750309,3.554077008604951,81.44421381475031,3.554077008604951
IPQ,1,2,視聴触　,19.455秒,3,4,136,0,9.755859374999659,9.19006347656143,145.75585937499966,9.19006347656143
IPQ,1,2,視聴触　,29.72秒,4,6,300,0,15.54565429520426,15.210571289061175,315.54565429520426,15.210571289061175
IPQ,1,2,視聴触　,41.105秒,5,8,461,0,25.938720571525494,24.796142550562863,486.9387205715255,24.796142550562863
IPQ,1,2,視聴触　,49.548秒,6,9,609,0,31.624145376200143,30.13549801929398,640.6241453762001,30.13549801929398
IPQ,1,2,視聴触　,62.374秒,7,13,753,0,41.11083971204618,39.41345212054879,794.1108397120462,39.41345212054879
IPQ,1,2,視聴触　,69.288秒,8,15,847,0,49.828491079336445,46.73034665196594,896.8284910793365,46.73034665196594
IPQ,1,2,視聴触　,92.455秒,9,19,1024,0,123.80492168813691,76.43188395222829,1147.8049216881368,76.43188395222829
IPQ,1,2,視聴触　,106.7秒,10,20,1217,0,143.22326644945244,119.22912591914059,1360.2232664494525,119.22912591914059
IPQ,1,2,視聴触　,112.61秒,11,21,1311,0,150.85454810977458,126.05281014961976,1461.8545481097747,126.05281014961976
IPQ,1,2,視聴触　,118.791秒,12,22,1399,0,156.69931497338297,132.33713245467658,1555.699314973383,132.33713245467658
IPQ,1,2,視聴触　,126.456秒,13,23,1523,0,163.87887996116436,141.97214222035734,1686.8788799611643,141.97214222035734
IPQ,1,2,視聴触　,138.375秒,14,24,1682,0,171.09140437521341,151.77194690779092,1853.0914043752134,151.77194690779092
IPQ,1,2,視聴触　,148.307秒,15,27,1864,0,183.06100886738272,161.0389146812021,2047.0610088673827,161.0389146812021
IPQ,1,2,視聴触　,153.776秒,16,28,1967,0,192.35132258805885,173.13074196968205,2159.351322588059,173.13074196968205
IPQ,1,2,視聴触　,161.274秒,17,29,2091,0,199.01679442945402,179.06902811252291,2290.016794429454,179.06902811252291
IPQ,1,2,視聴触　,169.571秒,18,31,2260,0,205.32464113006034,186.93348583540907,2465.32464113006,186.93348583540907
IPQ,1,2,視聴触　,183.504秒,19,36,2445,0,221.61447295503623,208.5023295357649,2666.614472955036,208.5023295357649
IPQ,1,2,視聴触　,197.681秒,20,37,2742,0,237.78524472677748,228.88067194970847,2979.7852447267774,228.88067194970847
